Issue,Issue ID,Category,Severity,Priority,Status,Owner,Description,Impact,Notes & Decisions,Recommended Resolution,Related ADRs,Related Documents,Related Phases,Root Cause,Target Resolution Date
Operational readiness is weak,ISS-13,"DevOps & Delivery, Operations",High,P0,Open,,"Deployment docs mention Docker Compose, GHCR, Dokploy, AIStor files, ports, and verification commands — but monitoring, alerting, rollback, backup/restore, incident response, RPO/RTO, and runbooks are not mature.",Pilot failures will be slow to diagnose; no clear observability for provider/queue/media-deletion/consent/recommendation failures. Users experience failures with no support path.,Overlaps with ISS-23 (deployment manual assumptions) and ISS-24 (observability).,"Add a production readiness checklist: logs, metrics, alerts, backups, restore drill, rollback, incident owner.",—,"deployment README, production-readiness",Phase 8–9 (ops/readiness),"Deployment is treated as “can run containers,” not “can operate a production service.”",
Perfect Corp dependency is strategically risky,ISS-09,"Architecture, External Dependency",High,P0,Resolved,,The system positions Perfect Corp / YouCam as the cold-start analysis provider while also planning eventual custom-model replacement.,"Unit economics may fail if provider calls are expensive; requires async tasks, retries, polling, provider normalization, quota accounting, demo fallback, and failure dashboards. Analysis delays/failures break the consultation experience.",Alternative: launch with seller-entered profile attributes (exact definition TBD — user flagged this needs clarification). — RESOLVED 2026-05-31: documented provider analysis as an optional enhancement (not core value) in the Technical Proposal principles and White Paper. Seller-entered-attributes alternative still needs definition.,"Treat provider integration as an optional enhancement, not the core value proposition.",ADR Pack (provider integration),"Roadmap, Gap Analysis, Technical Proposal","Phase 5 (Perfect Corp P0, demo-first)","Provider dependency is accepted before pricing, quotas, latency, accuracy, licensing, data retention, and fallback behavior are fully operationalized.","May 31, 2026"
Product mapping workload is hand-waved,ISS-08,"Data, Operations",High,P0,Open,,"Docs say products need concern tags, skin-type tags, tone/undertone tags, ingredient tags, avoid tags, explanation templates, and mappings — but there is no serious operating model for who maintains this at scale.","Scaling beyond 10–40 demo products becomes expensive and error-prone; needs admin/vendor workflows, validation rules, versioning, review, import/export, and conflict resolution. Bad mappings produce bad advice.",Ties to ISS-07: mapping completeness directly gates recommendation quality.,"Add a mapping completeness score, a mapping QA workflow, and a blocked-recommendation state for unmapped products.",ADR Pack (catalog mapping),"Technical Proposal, Implementation Plan",Phase 5 (catalog mapping),Data curation is treated as a one-time seed task.,
Deterministic recommendation engine may be too weak to justify the product,ISS-07,"ML & Strategy, Product",High,P0,Open,,"Docs rely heavily on deterministic scoring for explainability and safety, but deterministic tag matching can become shallow, generic, or wrong if product mappings are incomplete.","If recommendations feel obvious or wrong, the product has no defensible value; requires mapping completeness, taxonomy governance, scoring validation, and feedback loops. Users may see “recommended” products that are just tagged products with marketing copy.",Recommendation quality is a core MVP success metric (see Product Scope & Release Boundaries).,Define recommendation quality metrics and test sets before adding more features.,ADR Pack (recommendation engine),"Technical Proposal, HLD, White Paper",Phase 5–6 (recommendations),"The system assumes structured product metadata will be accurate, complete, and maintainable.",
"“Zero trust” is branding, not an implemented security model",ISS-05,"Architecture, Security",High,P0,Resolved,,"HLD claims zero-trust access (per-request auth, least privilege, mutual service authentication, default deny, logged access decisions), but the actual repo is a Laravel backend plus MySQL/Redis/S3/provider APIs — not a verified service mesh or mTLS design.","Overclaiming security posture invites scrutiny; engineers lack concrete policies, middleware, token scopes, and audit contracts; private facial/media data may be exposed through authorization gaps.",Approach: call it “backend-mediated authorization” until actual zero-trust controls exist. (Source-doc wording fix deferred per 'record only' decision.) — RESOLVED 2026-05-31: HLD section renamed to ‘Backend-mediated authorization’; zero-trust branding replaced and reframed as target controls.,"Replace vague zero-trust language with explicit controls: route middleware, policies, object-level authorization, signed-URL TTL, audit events, and test cases.",ADR Pack (security/auth),"HLD, Reference Architecture",Phase 3+ (auth & policies),Security principles are stated at enterprise level without matching implementation details.,"May 31, 2026"
Deployment model relies on too many manual assumptions,ISS-23,DevOps & Delivery,High,P1,Open,,"Deployment docs require environment variables, mounted AIStor credential/license files, GHCR credentials, Docker Compose modes, Dokploy configuration, and domain routing.","Deployment fragility during demos/pilots; misconfigured env or secrets can break storage, backend, frontend API routing, or provider access. Outages or broken media flows.",Alternative: use managed S3 and a managed database for the pilot to reduce infrastructure risk. Overlaps with ISS-13.,Add one-command staging deployment validation and environment diff checks.,—,"deployment README, environment-variables, staging-deployment",Phase 8–9 (deploy),"Production operational model is assembled from components, not hardened.",
Data model is expanding faster than domain proof,ISS-16,"Architecture, Data",High,P1,Open,,"Proposed entities include sessions, profiles, snapshots, media assets, AI tasks, results, mappings, recommendations, quota accounts/events, brands, ingredients, consent grants, outcomes, model versions, sampling campaigns, and audit logs.","Long implementation tail before customer value; migration complexity, unclear ownership, sparse tables, inconsistent lifecycle. Slow product iteration.","Respect the Architectural Runway principle: schema may include brand_id, but brand logic/APIs/UIs are not built in MVP.",Implement only tables needed for one validated flow; use event logs or JSON metadata temporarily for non-core experimental fields in testing.,ADR Pack (data model),"HLD, Technical Proposal",Phase 2–5 (schema),Future capabilities are being converted into schema commitments too early.,
Custom model strategy is fantasy at current maturity,ISS-10,ML & Strategy,High,P1,Resolved,,Docs describe a cold-start → consented data → seller corrections → lightweight custom model → distillation path. Plausible academically but not operationally backed.,"Stakeholders may expect proprietary AI differentiation long before it is realistic; requires MLOps, dataset governance, model registry, evaluation, bias testing, opt-out enforcement, and rollback. Incorrect skin/tone classification can harm trust and perceived inclusivity.","User: move custom model to post-MVP R&D; consider multiple providers. Alternative: use provider output + seller correction as explainable attributes without training a model. — RESOLVED 2026-05-31: custom model marked post-MVP R&D only (use available providers near-term) in HLD, White Paper, Technical Proposal, and Concept Paper.","Remove custom model from the near-term roadmap; define it as research & development for post-MVP, and use available third-party providers in the interim.",ADR Pack (AI/model strategy),"White Paper, Roadmap, Product Scope & Release Boundaries",Post-MVP R&D,"ML lifecycle is described without dataset size estimates, labeling quality controls, fairness protocol, evaluation metrics, training infra, or regulatory review.","May 31, 2026"
Brand/manufacturer ecosystem is premature,ISS-11,"Business, Product",High,P1,Resolved,,"The three-sided ecosystem assumes manufacturers will provide verified data and want anonymized demand insights, while customers consent to sharing.","Building brand portals and sampling flows too early wastes effort; adds consent, aggregation, anonymization, brand tenancy, product ownership, sampling campaigns, and analytics complexity. Customers may see brand sharing as surveillance, not value.",Aligns with the Future Ecosystem section of the scope doc — explicitly out of MVP scope. — RESOLVED 2026-05-31: three-sided ecosystem flagged post-MVP in the White Paper; scope doc already places brand surfaces in Phase 11 (V2+). Near-term focus is single-shop value.,Defer brand/manufacturer features until shops show repeat usage; start with retailer-only analytics (mapped product performance and consultation conversion).,—,"White Paper, Product Scope & Release Boundaries",Post-MVP (Phase 11+),The plan assumes marketplace network effects before proving single-shop value.,"May 31, 2026"
Frontend/backend API contract discipline is weak,ISS-20,"Architecture, Engineering Quality",Medium,P1,Open,,"Docs repeatedly say APIs should be documented, routes aligned, and frontend should call backend REST endpoints — implying current contract discipline is not strong enough.",Frontend integration slows and breaks often; drift between Laravel responses and Next.js expectations. UI errors and broken flows.,—,Introduce OpenAPI or typed API contracts with CI checks; or markdown contracts plus fixture-based frontend tests.,ADR Pack (API contracts),"RFC, Implementation Plan",All phases (integration),"No generated API schema, typed client, or contract tests are described.",
“Confidence shopping” value is not sufficiently measurable,ISS-18,"Business, Product",Medium,P1,Open,,"Docs list success indicators (recommendation acceptance, confused/no-decision rate, reopen usage, seller adoption, return-rate change) but no measurement instrumentation plan is defined.","You cannot prove the product works; missing event taxonomy, funnels, cohorts, baseline comparison, and experiment design. Product decisions may be based on anecdotes.","User idea: a full management system — vendors manage products/auditing, customers get a beauty-care system, and ordering/search per vendor. Captured as a post-MVP direction to validate, not MVP scope.",Define analytics events before pilot; run concierge tests manually before building analytics.,—,White Paper,Pilot MVP (instrumentation),Research goals are not translated into analytics requirements.,
