Issue,Category,Description,Impact,Issue ID,Notes & Decisions,Owner,Priority,Recommended Resolution,Related ADRs,Related Documents,Related Phases,Root Cause,Severity,Status,Target Resolution Date
Brand/manufacturer ecosystem is premature,"Business, Product","The three-sided ecosystem assumes manufacturers will provide verified data and want anonymized demand insights, while customers consent to sharing.","Building brand portals and sampling flows too early wastes effort; adds consent, aggregation, anonymization, brand tenancy, product ownership, sampling campaigns, and analytics complexity. Customers may see brand sharing as surveillance, not value.",ISS-11,Aligns with the Future Ecosystem section of the scope doc — explicitly out of MVP scope. — RESOLVED 2026-05-31: three-sided ecosystem flagged post-MVP in the White Paper; scope doc already places brand surfaces in Phase 11 (V2+). Near-term focus is single-shop value.,,P1,Defer brand/manufacturer features until shops show repeat usage; start with retailer-only analytics (mapped product performance and consultation conversion).,—,"White Paper, Product Scope & Release Boundaries",Post-MVP (Phase 11+),The plan assumes marketplace network effects before proving single-shop value.,High,Resolved,"May 31, 2026"
Operational readiness is weak,"DevOps & Delivery, Operations","Deployment docs mention Docker Compose, GHCR, Dokploy, AIStor files, ports, and verification commands — but monitoring, alerting, rollback, backup/restore, incident response, RPO/RTO, and runbooks are not mature.",Pilot failures will be slow to diagnose; no clear observability for provider/queue/media-deletion/consent/recommendation failures. Users experience failures with no support path.,ISS-13,Overlaps with ISS-23 (deployment manual assumptions) and ISS-24 (observability).,,P0,"Add a production readiness checklist: logs, metrics, alerts, backups, restore drill, rollback, incident owner.",—,"deployment README, production-readiness",Phase 8–9 (ops/readiness),"Deployment is treated as “can run containers,” not “can operate a production service.”",High,Open,
Testing strategy is not credible,Engineering Quality,"Docs say run php artisan test, build frontends, and smoke-test routes. That is not enough for a system handling private media, AI tasks, consent, and recommendations.","False confidence before demo/pilot; missing tests for auth, tenant isolation, signed-URL expiry, bucket privacy, recommendation correctness, consent revocation, provider failure, queue retry, deletion. Bugs show up during real consultations.",ISS-14,Minimum test set should gate the move from Demo-only to Pilot MVP (links to ISS-02 re-baseline).,,P0,Define the minimum required automated tests before any real pilot.,—,"Implementation Plan, deployment README",All phases (test gates),Test plan is mostly build/smoke validation.,Critical,Open,
Custom model strategy is fantasy at current maturity,ML & Strategy,Docs describe a cold-start → consented data → seller corrections → lightweight custom model → distillation path. Plausible academically but not operationally backed.,"Stakeholders may expect proprietary AI differentiation long before it is realistic; requires MLOps, dataset governance, model registry, evaluation, bias testing, opt-out enforcement, and rollback. Incorrect skin/tone classification can harm trust and perceived inclusivity.",ISS-10,"User: move custom model to post-MVP R&D; consider multiple providers. Alternative: use provider output + seller correction as explainable attributes without training a model. — RESOLVED 2026-05-31: custom model marked post-MVP R&D only (use available providers near-term) in HLD, White Paper, Technical Proposal, and Concept Paper.",,P1,"Remove custom model from the near-term roadmap; define it as research & development for post-MVP, and use available third-party providers in the interim.",ADR Pack (AI/model strategy),"White Paper, Roadmap, Product Scope & Release Boundaries",Post-MVP R&D,"ML lifecycle is described without dataset size estimates, labeling quality controls, fairness protocol, evaluation metrics, training infra, or regulatory review.",High,Resolved,"May 31, 2026"
Queue/async architecture is underdeveloped,"Architecture, Reliability","Provider calls, analysis polling, quota reconciliation, media deletion, and recommendation regeneration are inherently async, but docs do not adequately define queue-worker deployment, retry policies, dead-letter handling, idempotency, or task state machine.","Failed tasks block consultations; duplicate jobs, stuck jobs, inconsistent snapshots, double quota charges, orphaned media. Users see indefinite “processing” states.",ISS-15,"Approach: keep analysis synchronous only for demo, clearly labeled non-production.",,P0,"Design the task lifecycle explicitly: pending, uploaded, queued, processing, provider_failed, fallback_used, completed, expired, discarded.",ADR Pack (async/queues),"Reference Architecture, Implementation Plan",Phase 5 (analysis tasks),Async workflow is described at the happy-path sequence level.,High,Open,
Data model is expanding faster than domain proof,"Architecture, Data","Proposed entities include sessions, profiles, snapshots, media assets, AI tasks, results, mappings, recommendations, quota accounts/events, brands, ingredients, consent grants, outcomes, model versions, sampling campaigns, and audit logs.","Long implementation tail before customer value; migration complexity, unclear ownership, sparse tables, inconsistent lifecycle. Slow product iteration.",ISS-16,"Respect the Architectural Runway principle: schema may include brand_id, but brand logic/APIs/UIs are not built in MVP.",,P1,Implement only tables needed for one validated flow; use event logs or JSON metadata temporarily for non-core experimental fields in testing.,ADR Pack (data model),"HLD, Technical Proposal",Phase 2–5 (schema),Future capabilities are being converted into schema commitments too early.,High,Open,
UX friction is underestimated,"Customer Experience, Product","Seller-assisted capture requires consent, photo quality, upload, AI analysis, seller review, correction, recommendation, save/discard, and profile reopen — a multi-step in-store flow.","Sellers may abandon the tool during busy retail moments; requires very fast UI, offline fallback, partial save, retry, and clear failure states. Customers may distrust photo capture.",ISS-17,Alternative: start with a no-photo seller questionnaire and product recommendation.,,P0,Time-box the consultation flow to under 2 minutes and test with real users.,—,"White Paper, Technical Proposal",Phase 6–7 (consultation UX),The docs assume customers and sellers will tolerate a multi-step flow in-store.,High,Open,
“Confidence shopping” value is not sufficiently measurable,"Business, Product","Docs list success indicators (recommendation acceptance, confused/no-decision rate, reopen usage, seller adoption, return-rate change) but no measurement instrumentation plan is defined.","You cannot prove the product works; missing event taxonomy, funnels, cohorts, baseline comparison, and experiment design. Product decisions may be based on anecdotes.",ISS-18,"User idea: a full management system — vendors manage products/auditing, customers get a beauty-care system, and ordering/search per vendor. Captured as a post-MVP direction to validate, not MVP scope.",,P1,Define analytics events before pilot; run concierge tests manually before building analytics.,—,White Paper,Pilot MVP (instrumentation),Research goals are not translated into analytics requirements.,Medium,Open,
Frontend/backend API contract discipline is weak,"Architecture, Engineering Quality","Docs repeatedly say APIs should be documented, routes aligned, and frontend should call backend REST endpoints — implying current contract discipline is not strong enough.",Frontend integration slows and breaks often; drift between Laravel responses and Next.js expectations. UI errors and broken flows.,ISS-20,—,,P1,Introduce OpenAPI or typed API contracts with CI checks; or markdown contracts plus fixture-based frontend tests.,ADR Pack (API contracts),"RFC, Implementation Plan",All phases (integration),"No generated API schema, typed client, or contract tests are described.",Medium,Open,
Legacy demo positioning conflicts with production architecture,"Documentation & Governance, Product","Repo README and older public notes previously framed this as a short-term demo effort using Perfect Corp APIs and seeded artifacts, while architecture docs frame it as a scalable, privacy-aware, multi-tenant commercial platform.","Either the demo is overburdened by architecture or production is polluted by demo shortcuts; demo fallback, seeded data, provider mocks, and production flows may blur. Users may see staged behavior as real capability.",ISS-19,"User decision: the project is being carried forward as a startup/pilot codebase, not a short-term event deliverable. Repo-side framing should match that position. — RESOLVED 2026-05-31: current docs and README were reframed to startup/pilot language.",,P0,Separate demo artifacts from production architecture; keep repo and docs framed around the product codebase.,—,"HLD, White Paper, Documentation Hub, repo README",All,Demo speed and production rigor are not separated.,High,Resolved,"May 31, 2026"
Admin/vendor/customer role boundaries are risky,"Product, Security","The system has customer, seller, vendor, admin, and future brand roles. The backend route inventory describes public, customer, vendor, and super-admin route classes but not the beauty-specific permission model in detail.","Incorrect access could expose private profiles or media; needs resource-level policies, not just role-level route grouping. Customers lose trust if sellers/admins can see too much.",ISS-21,"Resource-level (object) authorization required, not just route-group roles. Links to ISS-05 and ISS-12.",,P0,"Define beauty-specific permissions: view session, edit mapping, start analysis, view media, save profile, revoke consent, access insights.",ADR Pack (authz/roles),"Technical Proposal, backend route inventory",Phase 3+ (policies),Existing commerce roles are being stretched to handle sensitive beauty workflows.,High,Open,
“No medical claims” rule is necessary but insufficient,"Legal, Product","Docs correctly prohibit diagnosis, cures, clinical treatment claims, and medical framing — but recommendations still involve skin type, concerns, adverse reactions, ingredients, sensitivities, and patch-test language.","Regulatory and liability exposure; requires copy governance, blocked terms, review workflow, and product-claim constraints. Users may misinterpret recommendations as dermatological advice.",ISS-22,Use only neutral language in templates and outputs. — RESOLVED 2026-05-31: created canonical Retail-Safe Language Policy page with approved/blocked terms and the required disclaimer.,,P0,"Create a retail-safe language policy enforced in templates and recommendation output (e.g. “may suit,” “seller review recommended,” “not medical advice”).",—,"White Paper, Documentation Hub",Phase 6+ (copy governance),Cosmetic guidance can easily drift into quasi-medical advice.,High,Resolved,"May 31, 2026"
Deployment model relies on too many manual assumptions,DevOps & Delivery,"Deployment docs require environment variables, mounted AIStor credential/license files, GHCR credentials, Docker Compose modes, Dokploy configuration, and domain routing.","Deployment fragility during demos/pilots; misconfigured env or secrets can break storage, backend, frontend API routing, or provider access. Outages or broken media flows.",ISS-23,Alternative: use managed S3 and a managed database for the pilot to reduce infrastructure risk. Overlaps with ISS-13.,,P1,Add one-command staging deployment validation and environment diff checks.,—,"deployment README, environment-variables, staging-deployment",Phase 8–9 (deploy),"Production operational model is assembled from components, not hardened.",High,Open,
Observability for privacy and AI failures is missing,"Operations, Security","The system needs to know when media access is denied, signed URLs are issued, provider calls fail, quota is exceeded, recommendations are generated, and consent changes. Docs mention audit logging but not operational dashboards or alerts.","Incidents are discovered by users, not operators; missing structured logs, metrics, traces, alert thresholds, and audit review. Support cannot explain failures.",ISS-24,"For demo-only, log every sensitive event to a protected admin table and review manually. Overlaps with ISS-13.",,P0,"Add minimum observability: task failure rate, provider latency, signed-URL issuance, media deletion failures, consent changes, cross-tenant denial events.",ADR Pack (audit/observability),"HLD, Reference Architecture",Phase 8–9 (observability),"Audit is described as a module, not an operational capability.",Critical,Open,
Business assumptions are unvalidated,"Business, Product","The docs assume SME retailers need AI consultation, sellers will adopt it, customers will consent, brands want insights, and saved profiles drive repeat visits.","Build may solve a problem buyers do not prioritize; engineering invests before validating willingness to use/pay. Customers may reject photo capture, profile storage, or brand data sharing.",ISS-25,Additional approach: concierge MVP with a paper/profile form and manually generated recommendations. Reinforces the MVP-success definition in the scope doc.,,P0,Run 5–10 manual seller consultations before building more architecture.,—,"White Paper, Product Scope & Release Boundaries",Pre-MVP validation,"Product strategy is built from plausible narrative, not demonstrated demand.",High,Open,
